ncalls,tottime,percall (ms),cumtime (s),percall (ms),filename:lineno(function)
1,2.90E-06,2.90E-06,2.90E-06,2.90E-06,argparse.py:1350(_ActionsContainer)
1,2.90E-06,2.90E-06,2.90E-06,2.90E-06,reduction.py:104(DupHandle)
1,2.90E-06,2.90E-06,2.90E-06,2.90E-06,getlimits.py:33(MachArLike)
6,2.90E-06,4.83E-07,2.90E-06,4.83E-07,~:0(<method 'items' of 'mappingproxy' objects>)
8,2.80E-06,3.50E-07,2.80E-06,3.50E-07,platform.py:339(<genexpr>)
7,2.80E-06,4.00E-07,2.80E-06,4.00E-07,~:0(<method 'popleft' of 'collections.deque' objects>)
12,2.80E-06,2.33E-07,2.80E-06,2.33E-07,~:0(<method 'islower' of 'str' objects>)
1,2.40E-06,2.40E-06,2.80E-06,2.80E-06,numbers.py:292(Rational)
1,2.70E-06,2.70E-06,2.70E-06,2.70E-06,introspect.py:1(<module>)
1,2.70E-06,2.70E-06,2.70E-06,2.70E-06,_index_tricks_impl.py:643(ndindex)
4,2.70E-06,6.75E-07,2.70E-06,6.75E-07,__init__.py:211(<genexpr>)
1,2.70E-06,2.70E-06,2.70E-06,2.70E-06,queue.py:264(_init)
1,2.70E-06,2.70E-06,2.70E-06,2.70E-06,~:0(<built-in method nt.urandom>)
1,2.70E-06,2.70E-06,2.70E-06,2.70E-06,~:0(<method 'height' of 'PySide6.QtCore.QRect' objects>)
1,2.70E-06,2.70E-06,2.70E-06,2.70E-06,~:0(<method 'setTitle' of 'PySide6.QtCharts.QChart' objects>)
1,2.10E-06,2.10E-06,2.70E-06,2.70E-06,_globals.py:52(__new__)
14,2.60E-06,1.86E-07,2.60E-06,1.86E-07,_parser.py:165(__delitem__)
1,2.60E-06,2.60E-06,2.60E-06,2.60E-06,selectors.py:281(SelectSelector)
1,2.60E-06,2.60E-06,2.60E-06,2.60E-06,preview_scheduler.py:150(PreviewScheduler)
2,2.60E-06,1.30E-06,2.60E-06,1.30E-06,~:0(<method 'tolist' of 'memoryview' objects>)
1,2.60E-06,2.60E-06,2.60E-06,2.60E-06,~:0(<method 'setWidgetResizable' of 'PySide6.QtWidgets.QScrollArea' objects>)
3,1.80E-06,6.00E-07,2.60E-06,8.67E-07,_parser.py:294(seek)
4,1.80E-06,4.50E-07,2.60E-06,6.50E-07,typing.py:1742(<genexpr>)
1,2.50E-06,2.50E-06,2.50E-06,2.50E-06,_compression.py:33(DecompressReader)
1,2.50E-06,2.50E-06,2.50E-06,2.50E-06,__init__.py:554(Formatter)
3,2.50E-06,8.33E-07,2.50E-06,8.33E-07,__init__.py:523(CFunctionType)
1,2.50E-06,2.50E-06,2.50E-06,2.50E-06,preview_scheduler.py:19(__init__)
12,2.50E-06,2.08E-07,2.50E-06,2.08E-07,~:0(<built-in method numpy.asarray>)
1,2.50E-06,2.50E-06,2.50E-06,2.50E-06,~:0(<method 'isRunning' of 'PySide6.QtCore.QThread' objects>)
1,2.50E-06,2.50E-06,2.50E-06,2.50E-06,~:0(<method 'setWidth' of 'PySide6.QtGui.QPen' objects>)
2,2.50E-06,1.25E-06,2.50E-06,1.25E-06,~:0(<method 'setTitleText' of 'PySide6.QtCharts.QAbstractAxis' objects>)
18,2.40E-06,1.33E-07,2.40E-06,1.33E-07,__init__.py:1525(<lambda>)
1,2.40E-06,2.40E-06,2.40E-06,2.40E-06,random.py:225(__init_subclass__)
1,2.40E-06,2.40E-06,2.40E-06,2.40E-06,tempfile.py:132(_RandomNameSequence)
1,2.40E-06,2.40E-06,2.40E-06,2.40E-06,threading.py:141(_RLock)
1,2.40E-06,2.40E-06,2.40E-06,2.40E-06,selectors.py:330(_PollLikeSelector)
5,2.40E-06,4.80E-07,2.40E-06,4.80E-07,~:0(<method 'keys' of 'dict' objects>)
2,2.30E-06,1.15E-06,2.30E-06,1.15E-06,<frozen codecs>:189(__init__)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,__init__.py:1210(_ZipWriteFile)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,_local.py:30(_PathParents)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,tempfile.py:432(_TemporaryFileCloser)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,reduction.py:251(AbstractReducer)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,decoder.py:262(JSONDecoder)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,encoder.py:74(JSONEncoder)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,_function_base_impl.py:2271(vectorize)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,_dtype_like.py:66(_DTypeDictBase)
11,2.30E-06,2.09E-07,2.30E-06,2.09E-07,~:0(<method 'isascii' of 'str' objects>)
2,2.30E-06,1.15E-06,2.30E-06,1.15E-06,~:0(<method 'set' of '_contextvars.ContextVar' objects>)
1,2.30E-06,2.30E-06,2.30E-06,2.30E-06,~:0(<method 'setBackgroundRoundness' of 'PySide6.QtCharts.QChart' objects>)
1,2.00E-06,2.00E-06,2.30E-06,2.30E-06,subprocess.py:169(TimeoutExpired)
1,1.30E-06,1.30E-06,2.30E-06,2.30E-06,<frozen importlib._bootstrap>:1158(create_module)
1,2.20E-06,2.20E-06,2.20E-06,2.20E-06,<string>:1(<module>)
6,2.20E-06,3.67E-07,2.20E-06,3.67E-07,__init__.py:1353(disable)
2,2.20E-06,1.10E-06,2.20E-06,1.10E-06,_ufunc_config.py:430(__init__)
1,2.20E-06,2.20E-06,2.20E-06,2.20E-06,_dtype_like.py:72(_DTypeDict)
1,2.20E-06,2.20E-06,2.20E-06,2.20E-06,_version.py:14(NumpyVersion)
1,2.20E-06,2.20E-06,2.20E-06,2.20E-06,_common.py:345(TimeoutExpired)
3,1.70E-06,5.67E-07,2.20E-06,7.33E-07,typing.py:1127(_is_typevar_like)
16,2.10E-06,1.31E-07,2.10E-06,1.31E-07,<frozen importlib._bootstrap_external>:1439(exec_module)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,string.py:188(Formatter)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,selectors.py:210(_BaseSelectorImpl)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,context.py:332(SpawnProcess)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,_exceptions.py:32(UFuncTypeError)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,memmap.py:21(memmap)
2,2.10E-06,1.05E-06,2.10E-06,1.05E-06,__init__.py:102(CFunctionType)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,__init__.py:257(c_wchar_p)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,__init__.py:1367(Popen)
1,2.10E-06,2.10E-06,2.10E-06,2.10E-06,~:0(<built-in method _struct.pack>)
2,2.00E-06,1.00E-06,2.00E-06,1.00E-06,<frozen os>:1137(__init__)
7,2.00E-06,2.86E-07,2.00E-06,2.86E-07,enum.py:1452(<lambda>)
1,2.00E-06,2.00E-06,2.00E-06,2.00E-06,selectors.py:60(_SelectorMapping)
1,2.00E-06,2.00E-06,2.00E-06,2.00E-06,records.py:196(record)
1,2.00E-06,2.00E-06,2.00E-06,2.00E-06,_arraysetops_impl.py:387(UniqueAllResult)
1,2.00E-06,2.00E-06,2.00E-06,2.00E-06,_nested_sequence.py:21(_NestedSequence)
1,2.00E-06,2.00E-06,2.00E-06,2.00E-06,__init__.py:59(Int64)
2,2.00E-06,1.00E-06,2.00E-06,1.00E-06,roi_window.py:293(get_roi)
1,2.00E-06,2.00E-06,2.00E-06,2.00E-06,~:0(<built-in method sys.exit>)
1,2.00E-06,2.00E-06,2.00E-06,2.00E-06,~:0(<method 'parent' of 'PySide6.QtCore.QObject' objects>)
4,1.50E-06,3.75E-07,2.00E-06,5.00E-07,typing.py:3155(<genexpr>)
1,1.30E-06,1.30E-06,2.00E-06,2.00E-06,_index_tricks_impl.py:552(__init__)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,__init__.py:119(__getattr__)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,_colorize.py:8(ANSIColors)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,signature_bootstrap.py:170(EmbeddableZipImporter)
5,1.90E-06,3.80E-07,1.90E-06,3.80E-07,reduction.py:43(register)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,main_window.py:31(DeleteCameraDialog)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,_internal.py:630(_Stream)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,_internal.py:210(dummy_ctype)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,_datasource.py:532(Repository)
1,1.90E-06,1.90E-06,1.90E-06,1.90E-06,~:0(<built-in method _codecs.charmap_build>)
1,1.80E-06,1.80E-06,1.80E-06,1.80E-06,__init__.py:2264(NullHandler)
1,1.80E-06,1.80E-06,1.80E-06,1.80E-06,encoder.py:105(__init__)
1,1.80E-06,1.80E-06,1.80E-06,1.80E-06,_globals.py:32(_NoValueType)
1,1.80E-06,1.80E-06,1.80E-06,1.80E-06,_iotools.py:132(LineSplitter)
1,1.80E-06,1.80E-06,1.80E-06,1.80E-06,_dtype_like.py:82(_SupportsDType)
8,1.80E-06,2.25E-07,1.80E-06,2.25E-07,__init__.py:7(register)
1,1.80E-06,1.80E-06,1.80E-06,1.80E-06,add_camera.py:47(AddCameraDialog)
1,1.30E-06,1.30E-06,1.80E-06,1.80E-06,_index_tricks_impl.py:321(__init__)
3,1.70E-06,5.67E-07,1.70E-06,5.67E-07,typing.py:553(__repr__)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,__init__.py:84(InitializedState)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,__init__.py:511(StringTemplateStyle)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,_ufunc_config.py:363(errstate)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,records.py:282(recarray)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,_datasource.py:73(_FileOpeners)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,_common.py:656(__init__)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,camera_detail.py:196(VideoDisplayWidget)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,csv.py:88(Dialect)
1,1.70E-06,1.70E-06,1.70E-06,1.70E-06,preview_scheduler.py:18(VideoCapturePool)
4,1.70E-06,4.25E-07,1.70E-06,4.25E-07,~:0(<method 'update' of 'set' objects>)
4,1.60E-06,4.00E-07,1.60E-06,4.00E-07,typing.py:2204(<genexpr>)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,warnings.py:442(catch_warnings)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,threading.py:581(Event)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,material_detector.py:123(ForegroundExtraction)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,_npyio_impl.py:41(BagObj)
4,1.60E-06,4.00E-07,1.60E-06,4.00E-07,__init__.py:454(__init__)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,_common.py:651(_WrapNumbers)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,camera_detail.py:32(VerticalBarGraph)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,coverage_logger.py:95(_FlushRunner)
1,1.60E-06,1.60E-06,1.60E-06,1.60E-06,~:0(<method 'width' of 'PySide6.QtCore.QRect' objects>)
2,1.60E-06,8.00E-07,1.60E-06,8.00E-07,~:0(<method 'setMaximumWidth' of 'PySide6.QtWidgets.QWidget' objects>)
1,8.00E-07,8.00E-07,1.60E-06,1.60E-06,__init__.py:1357(disable)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,pyscript:1(<module>)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,platform.py:455(<genexpr>)
5,1.50E-06,3.00E-07,1.50E-06,3.00E-07,platform.py:915(_unknown_as_blank)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,argparse.py:850(BooleanOptionalAction)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,process.py:361(_ParentProcess)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,records.py:56(format_parser)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,__init__.py:157(py_object)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,_utils_impl.py:118(_Deprecate)
2,1.50E-06,7.50E-07,1.50E-06,7.50E-07,_index_tricks_impl.py:340(__init__)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,subprocess.py:221(Handle)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,camera_detail.py:149(CoverageStatusWidget)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,ping_scheduler.py:12(PingWorker)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,~:0(<built-in method math.sqrt>)
2,1.50E-06,7.50E-07,1.50E-06,7.50E-07,~:0(<method 'copy' of 'list' objects>)
1,1.50E-06,1.50E-06,1.50E-06,1.50E-06,~:0(<method 'move' of 'PySide6.QtWidgets.QWidget' objects>)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,traceback.py:966(_ExceptionPrintContext)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,tempfile.py:475(_TemporaryFileWrapper)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,argparse.py:107(_AttributeHolder)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,context.py:230(DefaultContext)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,__init__.py:413(PyDLL)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,_index_tricks_impl.py:110(nd_grid)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,_arraysetops_impl.py:394(UniqueCountsResult)
1,1.40E-06,1.40E-06,1.40E-06,1.40E-06,_arraysetops_impl.py:399(UniqueInverseResult)
2,1.40E-06,7.00E-07,1.40E-06,7.00E-07,~:0(<method 'setLabelsFont' of 'PySide6.QtCharts.QAbstractAxis' objects>)
2,1.40E-06,7.00E-07,1.40E-06,7.00E-07,~:0(<method 'setTitleBrush' of 'PySide6.QtCharts.QAbstractAxis' objects>)
2,1.40E-06,7.00E-07,1.40E-06,7.00E-07,~:0(<built-in method _sqlite3.register_converter>)
1,6.00E-07,6.00E-07,1.40E-06,1.40E-06,_index_tricks_impl.py:586(__init__)
6,1.30E-06,2.17E-07,1.30E-06,2.17E-07,<frozen _collections_abc>:345(__subclasshook__)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,_local.py:462(PurePosixPath)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,_local.py:839(PosixPath)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,_compression.py:9(BaseStream)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,argparse.py:749(Action)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,__init__.py:1271(_StderrHandler)
3,1.30E-06,4.33E-07,1.30E-06,4.33E-07,__init__.py:1029(setFormatter)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,pickle.py:257(_Unframer)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,decoder.py:20(JSONDecodeError)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,arrayprint.py:959(FloatingFormat)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,__init__.py:162(Scalar)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,__init__.py:16(Mat)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,subprocess.py:198(STARTUPINFO)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,csv.py:234(Sniffer)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,csv.py:119(excel)
1,1.30E-06,1.30E-06,1.30E-06,1.30E-06,material_detector.py:296(ContourProcessor)
1,9.00E-07,9.00E-07,1.30E-06,1.30E-06,context.py:203(reducer)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,__init__.py:2105(PyZipFile)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,pyscript:1(_C)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,cp437.py:9(Codec)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,mapping.py:71(_NotCalled)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,__future__.py:81(_Feature)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,__init__.py:286(LogRecord)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,pyi_generator.py:34(Writer)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,_convertions.py:1(<module>)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,_exceptions.py:56(_UFuncBinaryResolutionError)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,arrayprint.py:1369(DatetimeFormat)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,_pytesttester.py:45(PytestTester)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,_endian.py:23(_swapped_meta)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,_datasource.py:98(__init__)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,_nbit_base.py:6(NBitBase)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,cp1252.py:9(Codec)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,_common.py:261(Error)
1,1.20E-06,1.20E-06,1.20E-06,1.20E-06,~:0(<method 'setFormat' of 'PySide6.QtCharts.QDateTimeAxis' objects>)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,threading.py:449(Semaphore)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,layout.py:50(install_typing_patch)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,enum_sig.py:337(HintingEnumerator)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,__init__.py:735(BufferingFormatter)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,parser.py:115(ArglistParser)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,exceptions.py:109(AxisError)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,_exceptions.py:38(_UFuncNoLoopError)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,numbers.py:37(Number)
2,1.10E-06,5.50E-07,1.10E-06,5.50E-07,_index_tricks_impl.py:146(__init__)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,_stride_tricks_impl.py:14(DummyArray)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,_array_like.py:48(_SupportsArray)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,_array_like.py:53(_SupportsArrayFunc)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,queue.py:281(PriorityQueue)
2,1.10E-06,5.50E-07,1.10E-06,5.50E-07,~:0(<method 'cast' of 'memoryview' objects>)
3,1.10E-06,3.67E-07,1.10E-06,3.67E-07,~:0(<method 'has_default' of 'typing.TypeVar' objects>)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,~:0(<method 'translate' of 'str' objects>)
1,1.10E-06,1.10E-06,1.10E-06,1.10E-06,~:0(<built-in method sys.getfilesystemencodeerrors>)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,warnings.py:420(WarningMessage)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,__init__.py:678(LZMACompressor)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,__init__.py:845(_Tellable)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,__init__.py:802(_SharedFile)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,threading.py:536(BoundedSemaphore)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,threading.py:1318(Timer)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,mapping.py:28(ellipsis)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,argparse.py:1665(_ArgumentGroup)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,__init__.py:814(Filterer)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,socket.py:212(_GiveupOnSendfile)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,parser.py:434(Hashabledict)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,__init__.py:1189(FileHandler)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,arrayprint.py:1343(_TimelikeFormat)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,_index_tricks_impl.py:214(MGridClass)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,_index_tricks_impl.py:593(ndenumerate)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,_index_tricks_impl.py:744(IndexExpression)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,_common.py:294(NoSuchProcess)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,_common.py:330(AccessDenied)
1,1.00E-06,1.00E-06,1.00E-06,1.00E-06,csv.py:134(unix_dialect)
4,1.00E-06,2.50E-07,1.00E-06,2.50E-07,~:0(<built-in method _warnings._filters_mutated>)
2,9.00E-07,4.50E-07,9.00E-07,4.50E-07,<frozen _collections_abc>:515(_is_param_expr)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,typing.py:592(__repr__)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,threading.py:1395(_DummyThread)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,__init__.py:177(FastLookup)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,threading.py:1366(_DeleteDummyThreadOnDel)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,argparse.py:910(_StoreAction)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,argparse.py:947(_StoreConstAction)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,argparse.py:1275(FileType)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,enum_sig.py:315(SimplifyingEnumerator)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,__init__.py:1829(RootLogger)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,argparse.py:1708(_MutuallyExclusiveGroup)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,arrayprint.py:1281(IntegerFormat)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,arrayprint.py:1310(ComplexFloatingFormat)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,__init__.py:213(c_longlong)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,__init__.py:262(c_wchar)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,__init__.py:241(c_char_p)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,__init__.py:422(WinDLL)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,__init__.py:431(HRESULT)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,_index_tricks_impl.py:455(RClass)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,cp1252.py:25(StreamWriter)
1,9.00E-07,9.00E-07,9.00E-07,9.00E-07,queue.py:300(LifoQueue)
4,9.00E-07,2.25E-07,9.00E-07,2.25E-07,~:0(<built-in method _sre.ascii_iscased>)
2,9.00E-07,4.50E-07,9.00E-07,4.50E-07,~:0(<built-in method math.log>)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,functools.py:1011(__init__)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,subprocess.py:703(_use_posix_spawn)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,warnings.py:207(_OptionError)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,__init__.py:701(LZMADecompressor)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,mapping.py:130(_Parameterized)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,argparse.py:678(MetavarTypeHelpFormatter)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,__init__.py:1295(PlaceHolder)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,argparse.py:1125(_VersionAction)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,process.py:394(_MainProcess)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,_exceptions.py:71(_UFuncCastingError)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,numerictypes.py:364(_PreprocessDTypeError)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,__init__.py:444(OleDLL)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,_endian.py:48(BigEndianStructure)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,_linalg.py:73(LinAlgError)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,_index_tricks_impl.py:276(OGridClass)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,version.py:1(<module>)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,_common.py:311(ZombieProcess)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,~:0(<method 'setMaximumSize' of 'PySide6.QtWidgets.QWidget' objects>)
1,8.00E-07,8.00E-07,8.00E-07,8.00E-07,~:0(<method 'setLabelFormat' of 'PySide6.QtCharts.QValueAxis' objects>)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,shutil.py:87(_GiveupOnFastCopy)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,_local.py:851(WindowsPath)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,traceback.py:94(_Sentinel)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:991(_StoreFalseAction)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:1330(Namespace)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:202(_Section)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:635(RawDescriptionHelpFormatter)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:646(RawTextHelpFormatter)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:1010(_AppendAction)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:1050(_AppendConstAction)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:1079(_CountAction)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,argparse.py:1104(_HelpAction)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,context.py:344(SpawnContext)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,process.py:346(AuthenticationString)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,pickle.py:73(PickleError)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,exceptions.py:48(ComplexWarning)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,_exceptions.py:80(_UFuncInputCastingError)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,arrayprint.py:1300(BoolFormat)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,arrayprint.py:1406(SubArrayFormat)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,_ufunc_config.py:356(_unspecified)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,__init__.py:252(c_bool)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,_endian.py:55(BigEndianUnion)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,_index_tricks_impl.py:559(CClass)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,queue.py:31(Full)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,queue.py:36(ShutDown)
1,7.00E-07,7.00E-07,7.00E-07,7.00E-07,csv.py:129(excel_tab)
4,7.00E-07,1.75E-07,7.00E-07,1.75E-07,~:0(<built-in method _sre.ascii_tolower>)
