ncalls,tottime,percall (ms),cumtime (s),percall (ms),filename:lineno(function)
6,7.50E-06,1.25E-06,7.50E-06,1.25E-06,__init__.py:1750(getEffectiveLevel)
3,7.50E-06,2.50E-06,7.50E-06,2.50E-06,~:0(<method 'setNMixtures' of 'cv2.BackgroundSubtractorMOG2' objects>)
1,7.40E-06,7.40E-06,7.40E-06,7.40E-06,camera.py:18(Camera)
4,7.40E-06,1.85E-06,7.40E-06,1.85E-06,~:0(<method 'darker' of 'PySide6.QtGui.QColor' objects>)
8,4.70E-06,5.88E-07,7.40E-06,9.25E-07,_parser.py:303(checkgroupname)
1,7.30E-06,7.30E-06,7.30E-06,7.30E-06,traceback.py:989(TracebackException)
14,7.30E-06,5.21E-07,7.30E-06,5.21E-07,threading.py:1110(ident)
1,7.30E-06,7.30E-06,7.30E-06,7.30E-06,main_window.py:796(MainWindow)
1,7.30E-06,7.30E-06,7.30E-06,7.30E-06,~:0(<built-in method _socket.inet_aton>)
1,5.70E-06,5.70E-06,7.30E-06,7.30E-06,~:0(<method 'setRenderHint' of 'PySide6.QtWidgets.QGraphicsView' objects>)
3,6.30E-06,2.10E-06,7.20E-06,2.40E-06,_compiler.py:410(_generate_overlap_table)
12,5.50E-06,4.58E-07,7.20E-06,6.00E-07,_linalg.py:128(isComplexType)
2,2.30E-06,1.15E-06,7.20E-06,3.60E-06,_ufunc_config.py:456(__exit__)
13,7.10E-06,5.46E-07,7.10E-06,5.46E-07,__init__.py:2098(_fpclose)
42,7.10E-06,1.69E-07,7.10E-06,1.69E-07,_compat_pickle.py:164(<genexpr>)
1,7.10E-06,7.10E-06,7.10E-06,7.10E-06,_index_tricks_impl.py:328(AxisConcatenator)
1,7.10E-06,7.10E-06,7.10E-06,7.10E-06,queue.py:316(_PySimpleQueue)
1,7.00E-06,7.00E-06,7.10E-06,7.10E-06,deprecated.py:1(<module>)
1,2.00E-06,2.00E-06,7.10E-06,7.10E-06,_common.py:633(outer)
1,7.00E-06,7.00E-06,7.00E-06,7.00E-06,__init__.py:921(Handler)
48,7.00E-06,1.46E-07,7.00E-06,1.46E-07,camera_detail.py:122(<genexpr>)
38,6.90E-06,1.82E-07,6.90E-06,1.82E-07,~:0(<built-in method _ctypes.sizeof>)
1,4.20E-06,4.20E-06,6.90E-06,6.90E-06,process.py:396(__init__)
1,2.80E-06,2.80E-06,6.90E-06,6.90E-06,contextlib.py:303(helper)
14,6.80E-06,4.86E-07,6.80E-06,4.86E-07,__init__.py:749(_check_compression)
1,2.40E-06,2.40E-06,6.80E-06,6.80E-06,__init__.py:1835(__init__)
1,6.70E-06,6.70E-06,6.70E-06,6.70E-06,socket.py:677(SocketIO)
1,6.60E-06,6.60E-06,6.60E-06,6.60E-06,__init__.py:1110(StreamHandler)
3,6.60E-06,2.20E-06,6.60E-06,2.20E-06,material_detector.py:305(__init__)
14,6.60E-06,4.71E-07,6.60E-06,4.71E-07,~:0(<method 'values' of 'dict' objects>)
1,4.80E-06,4.80E-06,6.60E-06,6.60E-06,queue.py:115(empty)
1,6.50E-06,6.50E-06,6.50E-06,6.50E-06,__init__.py:1462(Logger)
2,5.50E-06,2.75E-06,6.50E-06,3.25E-06,<frozen codecs>:94(__new__)
1,6.40E-06,6.40E-06,6.40E-06,6.40E-06,__init__.py:102(CompleteDirs)
1,4.70E-06,4.70E-06,6.40E-06,6.40E-06,~:0(<method 'setEchoMode' of 'PySide6.QtWidgets.QLineEdit' objects>)
2,2.90E-06,1.45E-06,6.40E-06,3.20E-06,<frozen os>:1126(__subclasshook__)
39,6.30E-06,1.62E-07,6.30E-06,1.62E-07,__init__.py:1653(<lambda>)
1,5.50E-06,5.50E-06,6.30E-06,6.30E-06,subprocess.py:130(CalledProcessError)
8,6.20E-06,7.75E-07,6.20E-06,7.75E-07,__init__.py:8(parameterized)
1,6.20E-06,6.20E-06,6.20E-06,6.20E-06,~:0(<built-in method cv2._registerMatType>)
1,5.60E-06,5.60E-06,6.20E-06,6.20E-06,__init__.py:374(ZipInfo)
