interval_start_s,interval_end_s,timestamp_start_s,timestamp_end_s,frames,fps,mean_ms,p50,p90,p95,p99
345,350,345,349.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
350,355,350,354.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
355,360,355,359.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
360,365,360,364.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
365,370,365,369.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
370,375,370,374.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
375,380,375,379.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
380,385,380,384.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
385,390,385,389.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
390,395,390,394.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
395,400,395,399.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
400,405,400,404.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
405,410,405,409.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
410,415,410,414.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
415,420,415,419.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
420,425,420,424.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
425,430,425,429.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
430,435,430,434.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
435,440,435,439.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
440,445,440,444.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
445,450,445,449.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
450,455,450,454.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
455,460,455,459.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
460,465,460,464.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
465,470,465,469.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
470,475,470,474.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
475,480,475,479.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
480,485,480,484.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
485,490,485,489.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
490,495,490,494.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
495,500,495,499.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
500,505,500,504.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
505,510,505,509.9666667,150,30.2,33.33,33.33,33.33,33.33,33.33
510,515,510,514.9333333,149,30.2,33.33,33.33,33.33,33.33,33.33
515,520,514.9666667,519.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
520,525,519.9666667,524.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
525,530,524.9666667,529.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
530,535,529.9666667,534.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
535,540,534.9666667,539.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
540,545,539.9666667,544.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
545,550,544.9666667,549.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
550,555,549.9666667,554.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
555,560,554.9666667,559.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
560,565,559.9666667,564.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
565,570,564.9666667,569.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
570,575,569.9666667,574.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
575,580,574.9666667,579.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
580,585,579.9666667,584.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
585,590,584.9666667,589.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
590,595,589.9666667,594.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
595,600,594.9666667,599.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
600,605,599.9666667,604.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
605,610,604.9666667,609.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
610,615,609.9666667,614.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
615,620,614.9666667,619.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
620,625,619.9666667,624.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
625,630,624.9666667,629.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
630,635,629.9666667,634.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
635,640,634.9666667,639.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
640,645,639.9666667,644.9333333,150,30.2,33.33,33.33,33.33,33.33,33.33
